orden,id,universidad,miembros,banda,contacto_previo,fuente,brazo
49,uba194,UBA,782,grande,si,Grupos,dx-ab-imagen-control
50,unc053,UNC,65,chico,no,Grupos,dx-ab-imagen-control
51,unc044,UNC,41,chico,si,Grupos,dx-ab-imagen-control
52,unc037,UNC,118,grande,si,Grupos,dx-ab-imagen-tratamiento
53,unlp006,UNLP,79,chico,no,Grupos,dx-ab-imagen-tratamiento
54,unlp005,UNLP,196,grande,no,Grupos,dx-ab-imagen-control
55,unlp010,UNLP,202,grande,si,Comunidades,dx-ab-imagen-control
56,unsam010,UNSAM,106,grande,no,Comunidades,dx-ab-imagen-control
57,utn010,UTN,310,grande,no,Grupos,dx-ab-imagen-tratamiento
58,utn057,UTN,561,grande,si,Grupos,dx-ab-imagen-tratamiento
59,uba183,UBA,65,chico,no,Grupos,dx-ab-imagen-control
60,uba225,UBA,83,chico,si,Comunidades,dx-ab-imagen-control
61,uba203,UBA,289,grande,no,Comunidades,dx-ab-imagen-tratamiento
62,uba199,UBA,750,grande,si,Grupos,dx-ab-imagen-tratamiento
63,unc056,UNC,75,chico,no,Grupos,dx-ab-imagen-tratamiento
64,unc016,UNC,70,chico,si,Grupos,dx-ab-imagen-tratamiento
65,unc075,UNC,163,grande,si,Grupos,dx-ab-imagen-control
66,unlp029,UNLP,75,chico,no,Comunidades,dx-ab-imagen-control
67,unlp004,UNLP,416,grande,no,Grupos,dx-ab-imagen-tratamiento
68,unlp016,UNLP,164,grande,si,Comunidades,dx-ab-imagen-tratamiento
69,unsam004,UNSAM,146,grande,no,Comunidades,dx-ab-imagen-tratamiento
70,utn082,UTN,314,grande,no,Grupos,dx-ab-imagen-control
71,utn065,UTN,642,grande,si,Grupos,dx-ab-imagen-control
72,uba206,UBA,64,chico,no,Comunidades,dx-ab-imagen-tratamiento
73,uba008,UBA,54,chico,si,Grupos,dx-ab-imagen-tratamiento
74,uba197,UBA,179,grande,no,Grupos,dx-ab-imagen-control
75,uba148,UBA,123,grande,si,Grupos,dx-ab-imagen-control
76,unc058,UNC,72,chico,no,Grupos,dx-ab-imagen-control
77,unc010,UNC,78,chico,si,Grupos,dx-ab-imagen-control
78,unc074,UNC,119,grande,si,Grupos,dx-ab-imagen-tratamiento
79,unlp048,UNLP,74,chico,no,Comunidades,dx-ab-imagen-tratamiento
80,unlp034,UNLP,199,grande,no,Comunidades,dx-ab-imagen-control
